OBJECTID,Place,Day,Date_of_Exposure,Time_of_Exposure,Address,Zone,Last_Updated,Exposure_area,Geolocation_Address,longitude,latitude,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area
36,Antigonish Arena - Rink,Wed,12/08/2021, 11:30 to 13:30,30 James St.- Antigonish,Eastern,12/09/2021 - 21:19,Antigonish Arena - Rink,Antigonish Arena - Rink - 30 James St.- Antigonish- Nova Scotia- Canada,-62.00184008,45.61580005,0.1,37,0.006904878000000001,3.62e-06
37,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Mulroney House (main floor study group),Eastern,12/08/2021 - 22:11,St. Francis Xavier University,St. Francis Xavier University - Mulroney House (main floor study group)- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,38,0.006905208,3.62e-06
38,Tim Horton s,Wed,12/08/2021, 11:30 to 13:30,45 James St.- Antigonish,Eastern,12/09/2021 - 21:48,Tim Horton s,Tim Horton s - 45 James St.- Antigonish- Nova Scotia- Canada,-62.00366999999999,45.61500997,0.1,39,0.006904817,3.62e-06
39,Snow Queen Restaurant,Wed,12/08/2021, 11:30 to 13:30,21 James St.- Antigonish,Flight,12/09/2021 - 21:46,Snow Queen Restaurant,Snow Queen Restaurant - 21 James St.- Antigonish- Nova Scotia- Canada,-62.00155993,45.61584996,0.1,40,0.006904881999999999,3.62e-06
40,Boston Pizza,Wed,12/08/2021, 11:30 to 13:30,133 Church St.- Antigonish,Eastern,12/10/2021 - 23:29,Boston Pizza,Boston Pizza - 133 Church St.- Antigonish- Nova Scotia- Canada,-61.98552,45.61557,0.1,41,0.00690486,3.62e-06
41,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,campus tour by students and parents,Eastern,12/08/2021 - 22:42,St. Francis Xavier University,St. Francis Xavier University - campus tour by students and parents- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,42,0.006905208,3.62e-06
42,St Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Angus L. Macdonald Library,Eastern,12/08/2021 - 22:26,St Francis Xavier University,St Francis Xavier University - Angus L. Macdonald Library- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,43,0.006905208,3.62e-06
43,Five Guys,Wed,12/08/2021, 11:30 to 13:30,1630 Argyle St.- Halifax,Central,12/06/2021 - 18:47,Five Guys,Five Guys - 1630 Argyle St.- Halifax- Nova Scotia- Canada,-63.57427169,44.64588246,0.1,44,0.006832329,3.56e-06
44,Canada Games Centre,Wed,12/08/2021, 11:30 to 13:30,Aquatics Centre and family rooms (26 Thomas Raddall Drive- Halifax),Central,12/08/2021 - 22:15,Canada Games Centre,Canada Games Centre - Aquatics Centre and family rooms (26 Thomas Raddall Drive- Halifax)- Nova Scotia- Canada,-63.66526999999999,44.65896,0.1,45,0.006833282,3.56e-06
45,Kent Building Supplies,Wed,12/08/2021, 11:30 to 13:30,35 Market St.- Antigonish,Eastern,12/09/2021 - 21:58,Kent Building Supplies,Kent Building Supplies - 35 Market St.- Antigonish- Nova Scotia- Canada,-62.01366638,45.61044196,0.1,46,0.006904466,3.62e-06
46,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Morrison Dining Hall,Eastern,12/10/2021 - 23:56,St. Francis Xavier University,St. Francis Xavier University - Morrison Dining Hall- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,47,0.006905208,3.62e-06
47,Justamere Café & Bakery,Wed,12/08/2021, 11:30 to 13:30,137 Church St.- Antigonish,Eastern,12/07/2021 - 20:55,Justamere Café & Bakery,Justamere Café & Bakery - 137 Church St.- Antigonish- Nova Scotia- Canada,-61.98565384,45.61600232,0.1,48,0.0069048930000000005,3.62e-06
48,Goodlife Fitness,Wed,12/08/2021, 11:30 to 13:30,26 College St.- Antigonish,Eastern,12/09/2021 - 21:13,Goodlife Fitness,Goodlife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459,0.1,49,0.00690532,3.62e-06
49,Esquire Restaurant,Wed,12/08/2021, 11:30 to 13:30,772 Bedford Highway- Halifax,Central,12/08/2021 - 22:31,Esquire Restaurant,Esquire Restaurant - 772 Bedford Highway- Halifax- Nova Scotia- Canada,-63.66629,44.70810993,0.1,50,0.006836866,3.56e-06
50,Esquire Restaurant,Wed,12/08/2021, 11:30 to 13:30,772 Bedford Hwy.- Halifax,Central,12/07/2021 - 20:57,Esquire Restaurant,Esquire Restaurant - 772 Bedford Hwy.- Halifax- Nova Scotia- Canada,-63.66629,44.70810993,0.1,51,0.006836866,3.56e-06
51,Smitty’s,Wed,12/08/2021, 11:30 to 13:30,1490 Cathedral Lane- Halifax,Central,12/09/2021 - 21:23,Smitty’s,Smitty’s - 1490 Cathedral Lane- Halifax- Nova Scotia- Canada,-63.57655,44.64548,0.1,52,0.0068323,3.56e-06
52,St. Francis Xavier University – Angus L. Macdonald Library,Wed,12/08/2021, 11:30 to 13:30,Third Floor – across from the “Harry Potter” Room,Eastern,12/09/2021 - 21:36,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - Third Floor – across from the “Harry Potter” Room- Nova Scotia- Canada,-61.63183000000001,45.76663995,0.1,53,0.006916521,3.63e-06
53,St. Francis Xavier University – Angus L. Macdonald Library,Wed,12/08/2021, 11:30 to 13:30,,Eastern,12/10/2021 - 23:41,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - nan- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,54,0.006905208,3.62e-06
54,Kenny s Pizza,Wed,12/08/2021, 11:30 to 13:30,30 College St.- Antigonish,Eastern,12/09/2021 - 21:23,Kenny s Pizza,Kenny s Pizza - 30 College St.- Antigonish- Nova Scotia- Canada,-61.99146304,45.62143114,0.1,55,0.006905311,3.62e-06
55,Spindrift Oak Manor,Wed,12/08/2021, 11:30 to 13:30,271 Main Street- Antigonish,Eastern,12/09/2021 - 21:56,Spindrift Oak Manor,Spindrift Oak Manor - 271 Main Street- Antigonish- Nova Scotia- Canada,-61.99157076,45.62243257,0.1,56,0.006905388,3.62e-06
56,Dooley’s Antigonish,Wed,12/08/2021, 11:30 to 13:30,26 College St.- Antigonish,Eastern,12/11/2021 - 00:47,Dooley’s Antigonish,Dooley’s Antigonish - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459,0.1,57,0.00690532,3.62e-06
57,Piper s Pub,Wed,12/08/2021, 11:30 to 13:30,33 College St.- Antigonish,Eastern,12/08/2021 - 22:50,Piper s Pub,Piper s Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.991580000000006,45.62128,0.1,58,0.006905299,3.62e-06
58,The Press Gang Restaurant & Oyster Bar,Wed,12/08/2021, 11:30 to 13:30,5218 Prince St.- Halifax,Central,12/06/2021 - 18:43,The Press Gang Restaurant & Oyster Bar,The Press Gang Restaurant & Oyster Bar - 5218 Prince St.- Halifax- Nova Scotia- Canada,-63.57454998,44.64710994,0.1,59,0.006832419,3.56e-06
59,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Somers Hall (BD Section),Eastern,12/10/2021 - 23:46,St. Francis Xavier University,St. Francis Xavier University - Somers Hall (BD Section)- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,60,0.006905208,3.62e-06
60,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Power Hall (AA Section),Eastern,12/10/2021 - 23:40,St. Francis Xavier University,St. Francis Xavier University - Power Hall (AA Section)- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,61,0.006905208,3.62e-06
61,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Somers Hall (BD Section),Eastern,12/10/2021 - 23:40,St. Francis Xavier University,St. Francis Xavier University - Somers Hall (BD Section)- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,62,0.006905208,3.62e-06
62,Pizza Delight,Wed,12/08/2021, 11:30 to 13:30,348 Main St.- Antigonish,Eastern,12/11/2021 - 00:46,Pizza Delight,Pizza Delight - 348 Main St.- Antigonish- Nova Scotia- Canada,-61.99437003,45.62219,0.1,63,0.00690537,3.62e-06
63,Gabrieau’s Bistro,Wed,12/08/2021, 11:30 to 13:30,350 Main St.- Antigonish,Eastern,12/07/2021 - 20:58,Gabrieau’s Bistro,Gabrieau’s Bistro - 350 Main St.- Antigonish- Nova Scotia- Canada,-61.99448004,45.62214004,0.1,64,0.006905366,3.62e-06
64,Piper’s Pub,Wed,12/08/2021, 11:30 to 13:30,33 College St.- Antigonish,Eastern,12/07/2021 - 20:53,Piper’s Pub,Piper’s Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.991580000000006,45.62128,0.1,65,0.006905299,3.62e-06
65,Spindrift Oak Manor,Wed,12/08/2021, 11:30 to 13:30,271 Main St.- Antigonish,Eastern,12/08/2021 - 22:30,Spindrift Oak Manor,Spindrift Oak Manor - 271 Main St.- Antigonish- Nova Scotia- Canada,-61.99157076,45.62243257,0.1,66,0.006905388,3.62e-06
66,Candid Brewery Company,Wed,12/08/2021, 11:30 to 13:30,88 College St.- Antigonish,Eastern,12/10/2021 - 23:56,Candid Brewery Company,Candid Brewery Company - 88 College St.- Antigonish- Nova Scotia- Canada,-61.99161577,45.62305358,0.1,67,0.006905436,3.62e-06
67,Scotiabank Centre,Wed,12/08/2021, 11:30 to 13:30,Thunderbirds game - Section 14- Row G (1800 Argyle St.- Halifax),Central,12/11/2021 - 00:45,Scotiabank Centre,Scotiabank Centre - Thunderbirds game - Section 14- Row G (1800 Argyle St.- Halifax)- Nova Scotia- Canada,-63.57557002,44.64853996,0.1,68,0.006832523,3.56e-06
68,Dartmouth Sportsplex,Wed,12/08/2021, 11:30 to 13:30,110 Wyse Rd.- Dartmouth,Central,12/11/2021 - 00:06,Dartmouth Sportsplex,Dartmouth Sportsplex - 110 Wyse Rd.- Dartmouth- Nova Scotia- Canada,-63.57558,44.66895007,0.1,69,0.006834009,3.56e-06
69,Boston Pizza,Wed,12/08/2021, 11:30 to 13:30,133 Church St.- Antigonish,Eastern,12/09/2021 - 22:00,Boston Pizza,Boston Pizza - 133 Church St.- Antigonish- Nova Scotia- Canada,-61.98552,45.61557,0.1,70,0.00690486,3.62e-06
70,Boston Pizza,Wed,12/08/2021, 11:30 to 13:30,133 Church Street- Antigonish,Eastern,12/08/2021 - 22:48,Boston Pizza,Boston Pizza - 133 Church Street- Antigonish- Nova Scotia- Canada,-61.98552,45.61557,0.1,71,0.00690486,3.62e-06
71,Scotiabank Centre,Wed,12/08/2021, 11:30 to 13:30,Thunderbirds game- section 38- Rows E-H- seats- 1-5- 1800 Argyle St.- Halifax,Eastern,12/08/2021 - 22:38,Scotiabank Centre,Scotiabank Centre - Thunderbirds game- section 38- Rows E-H- seats- 1-5- 1800 Argyle St.- Halifax- Nova Scotia- Canada,-63.57557002,44.64853996,0.1,72,0.006832523,3.56e-06
72,A&W,Wed,12/08/2021, 11:30 to 13:30,54 James St.- Antigonish,Eastern,12/09/2021 - 22:02,A&W,A&W - 54 James St.- Antigonish- Nova Scotia- Canada,-62.00374001,45.61502005,0.1,73,0.006904817,3.62e-06
73,St. Francis Xavier University – Charles V. Keating Centre,Wed,12/08/2021, 11:30 to 13:30,Convocation Dinner,Eastern,12/09/2021 - 22:00,St. Francis Xavier University – Charles V. Keating Centre,St. Francis Xavier University – Charles V. Keating Centre - Convocation Dinner- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,74,0.006905208,3.62e-06
74,Boston Pizza,Wed,12/08/2021, 11:30 to 13:30,133 Church St.- Antigonish,Eastern,12/07/2021 - 20:56,Boston Pizza,Boston Pizza - 133 Church St.- Antigonish- Nova Scotia- Canada,-61.98552,45.61557,0.1,75,0.00690486,3.62e-06
75,Townhouse Restaurant,Wed,12/08/2021, 11:30 to 13:30,76 College St.- Antigonish,Eastern,12/09/2021 - 21:40,Townhouse Restaurant,Townhouse Restaurant - 76 College St.- Antigonish- Nova Scotia- Canada,-61.99147579,45.62269354,0.1,76,0.006905408,3.62e-06
76,St. Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Morrison Hall (dining hall),Eastern,12/08/2021 - 22:13,St. Francis Xavier University,St. Francis Xavier University - Morrison Hall (dining hall)- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,77,0.006905208,3.62e-06
77,Antigonish Arena - Rink,Wed,12/08/2021, 11:30 to 13:30,30 James St.- Antigonish,Eastern,12/09/2021 - 21:18,Antigonish Arena - Rink,Antigonish Arena - Rink - 30 James St.- Antigonish- Nova Scotia- Canada,-62.00184008,45.61580005,0.1,78,0.006904878000000001,3.62e-06
78,St. Francis Xavier University – Charles V. Keating Centre,Wed,12/08/2021, 11:30 to 13:30,Fall Convocation,Eastern,12/09/2021 - 21:58,St. Francis Xavier University – Charles V. Keating Centre,St. Francis Xavier University – Charles V. Keating Centre - Fall Convocation- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,79,0.006905208,3.62e-06
79,Gabrieau’s Bistro,Wed,12/08/2021, 11:30 to 13:30,350 Main Street- Antigonish,Eastern,12/09/2021 - 21:59,Gabrieau’s Bistro,Gabrieau’s Bistro - 350 Main Street- Antigonish- Nova Scotia- Canada,-61.99448004,45.62214004,0.1,80,0.006905366,3.62e-06
80,Coldstream Clear Distillery,Wed,12/08/2021, 11:30 to 13:30,25 James Street- Antigonish,Eastern,12/10/2021 - 23:22,Coldstream Clear Distillery,Coldstream Clear Distillery - 25 James Street- Antigonish- Nova Scotia- Canada,-62.00212064,45.61565332,0.1,81,0.006904866999999999,3.62e-06
81,Bella Rose Arts Centre,Wed,12/08/2021, 11:30 to 13:30,Element Dance Holiday Show (283 Thomas Raddall Drive- Halifax),Central,12/08/2021 - 22:29,Bella Rose Arts Centre,Bella Rose Arts Centre - Element Dance Holiday Show (283 Thomas Raddall Drive- Halifax)- Nova Scotia- Canada,-63.66372004,44.65584004,0.1,82,0.006833054,3.56e-06
82,Coldstream Clear Distillery,Wed,12/08/2021, 11:30 to 13:30,25 James St.- Antigonish,Eastern,12/09/2021 - 22:04,Coldstream Clear Distillery,Coldstream Clear Distillery - 25 James St.- Antigonish- Nova Scotia- Canada,-62.00212064,45.61565332,0.1,83,0.006904866999999999,3.62e-06
83,Montana’s BBQ & Bar – Dartmouth Crossing,Wed,12/08/2021, 11:30 to 13:30,101 Shubie Drive- Dartmouth,Central,12/09/2021 - 21:22,Montana’s BBQ & Bar – Dartmouth Crossing,Montana’s BBQ & Bar – Dartmouth Crossing - 101 Shubie Drive- Dartmouth- Nova Scotia- Canada,-63.56269992,44.70691006,0.1,84,0.006836778000000001,3.56e-06
84,St Francis Xavier University,Wed,12/08/2021, 11:30 to 13:30,Angus L. Macdonald Library,Eastern,12/08/2021 - 22:25,St Francis Xavier University,St Francis Xavier University - Angus L. Macdonald Library- Nova Scotia- Canada,-61.99718992,45.62007995,0.1,85,0.006905208,3.62e-06
85,Tall and Small Cafe,Wed,12/08/2021, 11:30 to 13:30,342 Main Street- Antigonish,Eastern,12/09/2021 - 21:37,Tall and Small Cafe,Tall and Small Cafe - 342 Main Street- Antigonish- Nova Scotia- Canada,-61.99411,45.62229005,0.1,86,0.006905377,3.62e-06
86,Queens Place - Emera Centre,Wed,12/08/2021, 11:30 to 13:30,50 Queens Place Dr.- Liverpool,Western,12/11/2021 - 00:04,Queens Place - Emera Centre,Queens Place - Emera Centre - 50 Queens Place Dr.- Liverpool- Nova Scotia- Canada,-64.72221293,44.04979537,0.1,87,0.0067896580000000005,3.52e-06
87,Pita Pit,Wed,12/08/2021, 11:30 to 13:30,44 James St.- Antigonish,Eastern,12/07/2021 - 20:58,Pita Pit,Pita Pit - 44 James St.- Antigonish- Nova Scotia- Canada,-62.00290108,45.61540635,0.1,88,0.006904848000000001,3.62e-06
88,The Waffle Bus Stop,Wed,12/08/2021, 11:30 to 13:30,18 College Street- Antigonish,Eastern,12/09/2021 - 21:57,The Waffle Bus Stop,The Waffle Bus Stop - 18 College Street- Antigonish- Nova Scotia- Canada,-61.99160211,45.62081276,0.1,89,0.006905263000000001,3.62e-06
89,Playdium,Wed,12/08/2021, 11:30 to 13:30,21 Cabela Road- Dartmouth,Central,12/08/2021 - 22:23,Playdium,Playdium - 21 Cabela Road- Dartmouth- Nova Scotia- Canada,-63.57535,44.67404000000001,0.1,90,0.006834381,3.56e-06
90,Brownstone Restaurant,Wed,12/08/2021, 11:30 to 13:30,244 Main St.- Antigonish,Eastern,12/10/2021 - 23:30,Brownstone Restaurant,Brownstone Restaurant - 244 Main St.- Antigonish- Nova Scotia- Canada,-61.99047004,45.62251005,0.1,91,0.0069053940000000005,3.62e-06
