OBJECTID,Place,Day,Date of Exposure,Time of Exposure,Address,Zone,Last Updated,Exposure area,Geolocation Address,longitude,latitude
199,Easy Street Dinner,Sat,11/20/2021, 12:30 to 15:00,3625 Dutch Village Road- Halifax,Central,11/23/2021 - 20:10,Easy Street Dinner,Easy Street Dinner - 3625 Dutch Village Road- Halifax- Nova Scotia- Canada,-63.63228757,44.65827754
200,Halifax Transit Route #182 (First Lake Express) Sackville Terminal to Summer (QEII Health Sciences),Mon,12/06/2021, 06:15 to 06:45,Halifax Transit Bridge Terminal,Central,12/06/2021 - 18:50,Halifax Transit Route #182 (First Lake Express) Sackville Terminal to Summer (QEII Health Sciences),Halifax Transit Route #182 (First Lake Express) Sackville Terminal to Summer (QEII Health Sciences) - Halifax Transit Bridge Terminal- Nova Scotia- Canada,-61.63183,45.76663995
201,Air Canada 8106 Montreal to Halifax,Sun,12/05/2021, 19:15 to 21:45,Halifax Stanfield International Airport,Flight,12/10/2021 - 23:49,Rows 16-22- seats A- C- and D and Rows 14-20- seats C- D and F,Air Canada 8106 Montreal to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
202,Maritime Bus,Sun,12/05/2021, 11:00 to 13:00,,Flight,12/09/2021 - 21:53,Antigonish to Halifax Airport,Maritime Bus - nan- Nova Scotia- Canada,-63.62346878,44.64376832
203,Air Canada 1259 Orlando to Halifax,Sat,12/04/2021, 12:15 to 16:45,Halifax Stanfield International Airport,Flight,12/06/2021 - 18:56,Passengers in rows 16-22- seats A- C and D,Air Canada 1259 Orlando to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
204,Air Canada 602 Toronto to Halifax,Sat,12/04/2021, 07:00 to 10:00,Halifax Stanfield International Airport,Flight,12/09/2021 - 21:38,Rows 21-27- seats C- D- E- and F,Air Canada 602 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
205,Air Canada 614 Toronto to Halifax,Fri,12/03/2021, 14:00 to 17:00,Halifax Stanfield International Airport,Flight,12/05/2021 - 18:37,Passengers in rows 11-17- seats- C- D- E and F.,Air Canada 614 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
206,Air Canada 604 Toronto to Halifax,Wed,12/01/2021, 09:15 to 12:15,Halifax Stanfield International Airport,Flight,12/06/2021 - 18:53,Passengers in rows 12 to 17- seats A- C and D,Air Canada 604 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
207,Air Canada 8119 St. John’s to Halifax,Sun,11/28/2021, 09:00 to 10:45,Halifax Stanfield International Airport,Flight,12/02/2021 - 18:48,Passengers in rows 10 to 16- seats A- C- D and F.,Air Canada 8119 St. John’s to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
208,WestJet 254 Toronto to Halifax,Sat,11/27/2021, 22:30 to Sun,Halifax Stanfield International Airport,Flight,12/01/2021 - 17:56,Passengers in rows 9 to 15- seats C- D- E and F.,WestJet 254 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
209,WestJet 254 Toronto to Halifax,Sat,11/27/2021, 22:15 to Sun,Halifax Stanfield International Airport,Flight,12/03/2021 - 18:51,Passengers in rows 1-6- seats C- D- E and F,WestJet 254 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
210,Air Canada 624 Toronto to Halifax,Sat,11/27/2021, 20:45 to Sun,Halifax Stanfield International Airport,Flight,12/03/2021 - 18:40,Passengers in rows 1-3- seats A-C and D,Air Canada 624 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
211,Air Canada 8106 Montreal to Halifax,Sat,11/27/2021, 19:15 to 21:45,Halifax Stanfield International Airport,Flight,12/03/2021 - 18:41,Passengers in rows 23-27- seats A- C and D,Air Canada 8106 Montreal to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
212,Air Canada 624 Toronto to Halifax,Fri,11/26/2021, 20:45 to Sat,Halifax Stanfield International Airport,Flight,11/30/2021 - 20:03,Passengers in rows 26 to 32- seats C- D- E and F.,Air Canada 624 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
213,Air Canada Toronto to Halifax,Thu,11/25/2021, 18:15 to 21:15,Halifax Stanfield International Airport,Flight,12/01/2021 - 17:54,Passengers in rows 2 to 15- seats C- D- E and F.,Air Canada Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
214,Air Canada 8070 Ottawa to Halifax,Wed,11/24/2021, 18:00 to 20:45,Halifax Stanfield International Airport,Flight,11/29/2021 - 19:15,Passengers in rows 12 to 18- seats C- D and F.,Air Canada 8070 Ottawa to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
215,Air Canada 614 Toronto to Halifax,Wed,11/24/2021, 14:00 to 17:00,Halifax Stanfield International Airport,Flight,11/28/2021 - 18:19,Passengers in rows 32 to 36- seats A- C and D,Air Canada 614 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
216,Air Canada 624 Toronto to Halifax,Tue,11/23/2021, 20:45 to Wed,Halifax Stanfield International Airport,Flight,11/30/2021 - 20:01,Passengers in rows 32 to 36- seats C- D- E and F.,Air Canada 624 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
217,Air Canada 8119 St. John’s to Halifax,Tue,11/23/2021, 09:00 to 10:45,Halifax Stanfield International Airport,Flight,12/01/2021 - 17:52,Passengers in rows 4 to 10- seats C- D and F.,Air Canada 8119 St. John’s to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
218,WestJet 249 Halifax to Toronto,Mon,11/22/2021, 13:00 to 14:30,,Flight,11/29/2021 - 19:07,Passengers in rows 7 to 13- seats C- D- E and F.,WestJet 249 Halifax to Toronto - nan- Nova Scotia- Canada,-63.57655,44.64548
219,Air Canada 626 Toronto to Halifax,Sun,11/21/2021, 22:30 to Mon,Halifax Stanfield International Airport,Flight,11/29/2021 - 19:11,Passengers in rows 24 to 30- seats A- B- C and D.,Air Canada 626 Toronto to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
220,Air Canada 8106 Montreal to Halifax,Sun,11/21/2021, 19:15 to 21:45,Halifax Stanfield International Airport,Flight,11/23/2021 - 20:11,Passengers in rows 17 to 23- seats A- C and D.,Air Canada 8106 Montreal to Halifax - Halifax Stanfield International Airport- Nova Scotia- Canada,-63.51530999,44.88626001
221,Halifax Transit Route #007 (Robie),Fri,11/19/2021, 14:15 to 14:45,Halifax Transit Bridge Terminal,Flight,11/23/2021 - 20:11,Novalea (Samuel Prince Manor) to North Ridge,Halifax Transit Route #007 (Robie) - Halifax Transit Bridge Terminal- Nova Scotia- Canada,-63.65307293,44.67330579
222,Halifax Transit Route #007 (Robie),Fri,11/19/2021, 09:15 to 09:45,Halifax Transit Bridge Terminal,Central,11/23/2021 - 20:10,North Ridge to Novalea (Samuel Prince Manor),Halifax Transit Route #007 (Robie) - Halifax Transit Bridge Terminal- Nova Scotia- Canada,-63.65307293,44.67330579
223,Halifax Transit Route #007 (Robie),Thu,11/18/2021, 12:30 to 13:00,Halifax Transit Bridge Terminal,Central,11/23/2021 - 20:11,Novalea (Samuel Prince Manor) to North Ridge,Halifax Transit Route #007 (Robie) - Halifax Transit Bridge Terminal- Nova Scotia- Canada,-63.65307293,44.67330579
224,Halifax Transit Route #007 (Robie),Thu,11/18/2021, 08:30 to 09:00,Halifax Transit Bridge Terminal,Central,11/23/2021 - 20:10,North Ridge to Novalea (Samuel Prince Manor),Halifax Transit Route #007 (Robie) - Halifax Transit Bridge Terminal- Nova Scotia- Canada,-63.65307293,44.67330579
